Model,資費,專案費,建議售價
MOFT X-PhoneStand超薄手機隱形支架-太空灰, , ,599
Type-C+灰快充行動電源&C-lightning-白, , ,"1,460"
【NOVOO】81W便攜式交流行動電源, , ,"4,680"
【Omars】45W PD充電器, , ,890
【Omars】Type-C+QC 3.0 快充行動電源-藍, , ,980
imiia BT-301真無線藍牙耳機-黑, , ,"1,380"
GPLUS 小月亮多功能藍芽喇叭, , ,"1,490"
廣穎 Type-C 3A 編織充電傳輸線, , ,229
廣穎 BP82藍芽耳機, , ,990
台灣製12000mAh三合一行動電源RL-1201-黑, , ,880
台灣製12000mAh三合一行動電源RL-1201-綠, , ,880
西卡頓藍芽運動型耳機(BT-17), , ,699
Lightning快充編織傳輸線1M灰LK30AL, , ,339
Lightning快充編織傳輸線1M黑LK30AL, , ,339
Lightning快充編織傳輸線1M粉LK30AL, , ,339
LOOP支援QC3.0 4port usb旅充頭-白, , ,699
LOOP支援QC3.0 4port usb旅充頭-黑, , ,699
normi PD屏顯 雙QC行動電源(灰)-S10BK, , ,"1,280"
normi PD屏顯 雙QC行動電源(白)-S10WH, , ,"1,280"
normi PD大理石紋行動電源(黑)-MB1BK, , ,"1,280"
normi PD大理石紋行動電源(白)-MB1WH, , ,"1,280"
Verbatim Lightning傳輸線 金-CL60W-GD, , ,690
SEKC HUB 4in1充電傳輸集線器-H04, , ,"1,480"
Verbatim Lightning傳輸線 黑-CL60W-BK, , ,690
SEKC Type-C to Type-C 傳輸線-15A20, , ,890
SEKC 二合一變形無線充電盤 白-QI7W, , ,"1,580"
SEKC Type-C to Type-C60W傳輸線-53A12, , ,690
SEKC qi無線感應式車架-QC8, , ,"1,580"
SEKC 二合一變形無線充電盤 黑-QI7B, , ,"1,580"
SEKC Apple MFI 18W高速充電組-PD18L, , ,990
日本SEKC QI 15W快速無線充電板-Q3S, , ,"1,380"
SEKC Q8可立式無線充電板-Q8-BK, , ,"1,080"
SEKC PD 30W+QC4+高速充電器 白-PD30Q-WH, , ,690
SEKC PD 60W 高速充電器 白-PD60Q-WH, , ,990
SEKC PD旅充 USB-C+QC3.0-PD3260WT-NL, , ,"1,180"
SEKC PD+QC3.0 30W PD 2孔充電器-302WT, , ,890
SEKC PD+QC3.0 60W PD充電器-602WT, , ,"1,080"
日本SEKC PD+QC3.05孔急速充電器-PD3560WT, , ,"1,480"
廣穎 C10QC PD移動電源 10000mAh白, , ,899
AI 智慧語音無線滑鼠, , ,"2,990"
【限量出清】Shine micro圓1.2米 白2入, , ,298
【限量出清】Shine type c編織1.2米 金2入, , ,398
【限量出清】Shine USB3.4A充電器, , ,499
【限量出清】Shine micro圓1.2米 黑 2入, , ,298
【限量出清】Shine micro圓1.2米 黑 3入, , ,399
廣穎C50口袋型輕巧行動電源5000mAh-白, , ,499
E-books T39 晶片ATM+記憶卡多功能讀卡機, , ,399
Micro/Lightning雙充電行動電源10000mAh黑, , ,699
Micro/Lightning雙充電行動電源10000mAh藍, , ,699
Micro/Lightning雙充電行動電源10000mAh金, , ,699
MIONIX 心率膚感光學電競滑鼠, , ,"3,599"
MIONIX 有線電競滑鼠, , ,"1,799"
MIONIX 人體工學有線電競滑鼠(薯條黃), , ,"1,999"
MIONIX 人體工學有線電競, , ,"1,899"
NETTEC APPLE認證編織充電傳輸線-灰, , ,490
日本SEKC 二合一變形無線充電盤 黑, , ,"1,580"
B.FRIEND人體工學電競椅-黑白, , ,"6,990"
法國Xoopar X3 迷你公仔藍牙喇叭-黑, , ,850
法國Xoopar X3 迷你公仔藍牙喇叭-橘, , ,850
法國Xoopar X3 迷你公仔藍牙喇叭-萊姆, , ,850
B.FRIEND人體工學電競椅-黑黃, , ,"6,990"
NETTEC Qi認證車用無線充電感應式車架黑, , ,"1,990"
群曜群曜無線充電板(黑), , ,599
群曜群曜無線充電板(白), , ,599
O-ONE 圓一輕薄快充行動電源(黑), , ,590
O-ONE 圓一輕薄快充行動電源(白), , ,590
GPLUS-小月亮多功能藍牙喇叭SB-A002SL-白, , ,"1,490"
元山 HEPA等級車用空氣清淨機, , ,"1,680"
FOBO BIKE全藍芽雲端胎壓偵測器(摩托車), , ,"4,980"
FOBO BIKE全藍芽雲端胎壓偵測器(三輪車), , ,"5,980"
FOBO TIRE全藍芽雲端汽車胎壓偵測器, , ,"6,980"
FOBO TIRE PLUS全藍芽雲端汽車胎壓偵測器, , ,"7,980"
FOBO TAG3 防走失守護寶(全藍芽智慧追蹤器), , ,"3,980"
GPLUS-小陀螺藍牙喇叭-白, , ,990
logitech Spotlight簡報遙控器, , ,"3,799"
愛華AIWA-WQC501BK無線充電器-黑, , ,"1,180"
愛華AIWA-EB602RD藍芽耳機-經典紅, , ,"2,680"
愛華AIWA-EB601BE藍芽耳機-時尚藍, , ,"1,990"
愛華AIWA-EW101GE有線耳機-優雅金, , ,790
Esense OS3 ATM智慧晶片+SD/T-Flaash讀卡機, , ,349
DW麝香型咖啡皮革腕錶 白+玫瑰金/36mm, , ,"2,980"
DW時尚優質腕錶 帆布+金殼 紅藍/36mm, , ,"2,980"
DW時尚優質腕錶 帆布+金殼 白紅藍/40mm, , ,"2,980"
DW時尚優質腕錶 帆布+金殼 /40mm, , ,"2,980"
DW時尚優質腕錶 帆布+金殼 藍紅/40mm, , ,"2,980"
DW米蘭風格時尚優質腕錶 銀+白面/32mm, , ,"2,980"
DW米蘭風格時尚優質腕錶 黑+玫瑰金/32mm, , ,"2,980"
DW米蘭風格時尚優質腕錶 銀+黑面/32mm, , ,"2,980"
DW米蘭風格時尚優質腕錶 白+玫瑰金/32mm, , ,"2,980"
CK 牽手誓言的愛情時尚優質女性腕錶 玫瑰金, , ,"8,800"
CK 簡約風格流行時尚優質腕錶 銀, , ,"7,120"
CK 牽手誓言的愛情時尚優質女性腕錶 銀+黑, , ,"6,880"
CK 牽手誓言的愛情時尚優質女性腕錶 銀, , ,"6,880"
CK 牽手誓言的愛情時尚優質女性腕錶 黑金, , ,"8,800"
CK 優質運動家流行計時風格腕錶 銀, , ,"8,480"
CK 優質運動家流行計時風格腕錶 灰黑, , ,"8,480"
CK 走在時尚尖端三眼計時優質腕錶 銀, , ,"9,040"
CK 優質運動家流行計時風格腕錶 玫瑰金, , ,"9,840"
CK 簡約風格流行時尚優質腕錶 灰黑, , ,"7,120"
DW時尚優質皮革腕錶 紅色+玫瑰金/32mm, , ,"2,980"
CK 走在時尚尖端三眼計時優質腕錶 黑面, , ,"9,040"
CK 城市亮眼焦點三眼計時優質腕錶 灰黑, , ,"9,040"
CK 城市亮眼焦點三眼計時優質腕錶 藍, , ,"9,040"
CK 城市亮眼焦點三眼計時優質腕錶 灰黑+銀, , ,"9,040"
DW麝香型咖啡皮革腕錶 白+玫瑰金/32mm, , ,"2,980"
DW米蘭時尚優質腕錶 黑+玫瑰金/32mm, , ,"2,980"
DW 米蘭風格時尚優質腕錶 黑+玫瑰金/28mm, , ,"2,980"
DW時尚優質皮革腕錶 黑+玫瑰金/40mm, , ,"2,980"
DW時尚優質皮革腕錶 黑竹節+玫瑰金/40mm, , ,"2,980"
ＤＷ麝香型咖啡皮革腕錶 白+玫瑰金/40mm, , ,"2,980"
DW時尚優質皮革腕錶 紅色+玫瑰金/36mm, , ,"2,980"
DW時尚優質皮革腕錶 淺咖啡+玫瑰金/40mm, , ,"2,980"
DW時尚優質皮革腕錶 深咖啡+玫瑰金/40mm, , ,"2,980"
Samsung Galaxy Watch 42(R815) 黑, , ,"12,500"
Huawei Band 3e 華為智慧手環-粉, , ,790
Gt行動電視5天序號, , ,29
KKTV月租序號-90天, , ,447
KKBOX月租序號-30天, , ,149
人因電視棒+ Gt TV季卡組合包, , ,890
MyCard點數卡 150點, , ,144
E-books SS5真無線藍牙耳機+KKBOX季卡組合, , ,"1,290"
TCS1400無線藍芽喇叭+KKBOX季卡組合包, , ,990
Airpods含充電盒+KKBOX季卡組, , ,"4,690"
暢玩卡韓國5日無限上網卡包, , ,399
暢玩卡東南亞8日3GB卡包, , ,299
暢玩卡日本6日無限上網卡包, , ,599
Gt音樂鈴聲+雙週序號卡, , ,60
Gt音樂鈴聲+單月序號卡, , ,99
Gt音樂鈴聲+序號季卡, , ,289
新Gt TV-90天序號, , ,469
新Gt TV-365天序號, , ,"1,499"
暢玩卡中港澳6日無限上網(2.5G)卡包, , ,640
暢玩卡中港澳7日3GB到量降256卡包, , ,520
GtTV&OVO機上盒升級版季卡特組, , ,"1,990"
Gt TV 機上盒影視包-90天序號季卡, , ,"1,990"
Gt TV 機上盒影視包-365天序號年卡, , ,"2,890"
暢玩卡歐洲20日8GB卡包, , ,799
暢玩卡日本7日7GB卡包, , ,550
暢玩卡中國6日無限上網(50G)卡包, , ,690
新Gt TV-30天序號, , ,139
暢玩卡日韓6日3GB卡包, , ,350
暢玩卡中港澳7日3GB卡包, , ,499
暢玩卡美加12日5GB卡包, , ,899
Gt滑飽讀10天序號, , ,29
Gt滑飽讀30天序號, , ,69
Gt滑飽讀90天序號, , ,199
Gt滑飽讀365天序號, , ,799
